beta strong weak creutzstrong
0.05 0.012499 nan 4.382131
0.10 0.024990 nan 3.689296
0.15 0.037465 nan 3.284351
0.20 0.049918 nan 2.997396
0.25 0.062342 nan 2.775186
0.30 0.074730 nan 2.594003
0.35 0.087077 nan 2.441195
0.40 0.099379 nan 2.309208
0.45 0.111632 nan 2.193169
0.50 0.123834 nan 2.089751
0.55 0.135984 nan 1.996579
0.60 0.148082 nan 1.911899
0.65 0.160128 nan 1.834378
0.70 0.172127 nan 1.762979
0.75 0.184081 nan 1.696880
0.80 0.195995 nan 1.635416
0.85 0.207876 nan 1.578044
0.90 0.219730 0.166667 1.524311
0.95 0.231566 0.210526 1.473840
1.00 0.243392 0.250000 1.426309
1.05 0.255218 0.285714 1.381444
1.10 0.267054 0.318182 1.339007
1.15 0.278911 0.347826 1.298793
1.20 0.290801 0.375000 1.260620
1.25 0.302734 0.400000 1.224330
1.30 0.314722 0.423077 1.189782
1.35 0.326777 0.444444 1.156852
1.40 0.338910 0.464286 1.125426
1.45 0.351132 0.482759 1.095404
1.50 0.363453 0.500000 1.066695
1.55 0.375885 0.516129 1.039216
1.60 0.388436 0.531250 1.012893
1.65 0.401117 0.545455 0.987656
1.70 0.413934 0.558824 0.963442
1.75 0.426897 0.571429 0.940195
1.80 0.440012 0.583333 0.917861
1.85 0.453285 0.594595 0.896391
1.90 0.466721 0.605263 0.875738
1.95 0.480325 0.615385 0.855862
2.00 0.494101 0.625000 0.836723
2.05 0.508050 0.634146 0.818284
2.10 0.522174 0.642857 0.800512
2.15 0.536476 0.651163 0.783373
2.20 0.550954 0.659091 0.766839
2.25 0.565608 0.666667 0.750881
2.30 0.580438 0.673913 0.735472
2.35 0.595440 0.680851 0.720589
2.40 0.610611 0.687500 0.706207
2.45 0.625950 0.693878 0.692304
2.50 0.641452 0.700000 0.678860
2.55 0.657111 0.705882 0.665854
2.60 0.672925 0.711538 0.653269
2.65 0.688886 0.716981 0.641086
2.70 0.704990 0.722222 0.629289
2.75 0.721230 0.727273 0.617861
2.80 0.737600 0.732143 0.606789
2.85 0.754094 0.736842 0.596056
